Suncycle timetable for the year 2018

Date 		Sunrise   Sunset
2018 07 15	5.279167  21.029167
2018 07 16	5.295833  21.012500
2018 07 17	5.312500  20.995833
2018 07 18	5.337500  20.979167
2018 07 19	5.354167  20.962500
2018 07 20	5.370833  20.945833
2018 07 21	5.395833  20.929167
2018 07 22	5.412500  20.912500
2018 07 23	5.437500  20.887500
2018 07 24	5.454167  20.870833
2018 07 25	5.479167  20.845833
2018 07 26	5.504167  20.829167
2018 07 27	5.520833  20.804167
2018 07 28	5.545833  20.787500
2018 08 01	5.637500  20.687500
2018 08 02	5.662500  20.670833
2018 08 03	5.687500  20.645833
2018 08 04	5.712500  20.612500
2018 08 05	5.729167  20.587500
2018 08 06	5.754167  20.562500
2018 08 07	5.779167  20.537500
2018 08 08	5.804167  20.512500
2018 08 09	5.829167  20.479167
2018 08 10	5.854167  20.454167
2018 08 11	5.879167  20.420833
2018 08 12	5.904167  20.395833
2018 08 13	5.929167  20.362500
2018 08 14	5.954167  20.337500
2018 08 15	5.979167  20.304167
2018 08 16	6.004167  20.279167
2018 08 17	6.029167  20.245833
2018 08 18	6.054167  20.212500
2018 08 19	6.079167  20.179167
2018 08 20	6.104167  20.145833
2018 08 21	6.129167  20.120833
2018 08 22	6.154167  20.087500
2018 08 23	6.179167  20.054167
2018 08 24	6.204167  20.020833
2018 08 25	6.229167  19.987500
2018 08 26	6.254167  19.954167
2018 08 27	6.279167  19.920833
2018 08 28	6.304167  19.887500
2018 09 01	6.404167  19.745833
2018 09 02	6.429167  19.712500
2018 09 03	6.454167  19.679167
2018 09 04	6.479167  19.645833
2018 09 05	6.504167  19.604167
2018 09 06	6.529167  19.570833
2018 09 07	6.554167  19.537500
2018 09 08	6.579167  19.504167
2018 09 09	6.604167  19.462500
2018 09 10	6.629167  19.429167
2018 09 11	6.654167  19.395833
2018 09 12	6.679167  19.354167
2018 09 13	6.704167  19.320833
2018 09 14	6.729167  19.287500
2018 09 15	6.754167  19.245833
2018 09 16	6.779167  19.212500
2018 09 17	6.804167  19.170833
2018 09 18	6.829167  19.137500
2018 09 19	6.854167  19.104167
2018 09 20	6.879167  19.062500
2018 09 21	6.904167  19.029167
2018 09 22	6.929167  18.987500
2018 09 23	6.954167  18.954167
2018 09 24	6.979167  18.920833
2018 09 25	7.004167  18.879167
2018 09 26	7.029167  18.845833
2018 09 27	7.054167  18.804167
2018 09 28	7.079167  18.770833
2018 09 29	7.104167  18.737500
2018 09 30	7.129167  18.695833
2018 10 01	7.154167  18.662500
2018 10 02	7.179167  18.620833
2018 10 03	7.204167  18.587500
2018 10 04	7.229167  18.554167
2018 10 05	7.254167  18.512500
2018 10 06	7.279167  18.479167
2018 10 07	7.304167  18.445833
2018 10 08	7.329167  18.404167
2018 10 09	7.354167  18.370833
2018 10 10	7.379167  18.337500
2018 10 11	7.412500  18.304167
2018 10 12	7.437500  18.262500
2018 10 13	7.462500  18.229167
2018 10 14	7.487500  18.195833
2018 10 15	7.512500  18.162500
2018 10 16	7.537500  18.129167
2018 10 17	7.562500  18.095833
2018 10 18	7.595833  18.054167
2018 10 19	7.620833  18.020833
2018 10 20	7.645833  17.987500
2018 10 21	7.670833  17.954167
2018 10 22	7.695833  17.920833
2018 10 23	7.729167  17.887500
2018 10 24	7.754167  17.854167
2018 10 25	7.779167  17.829167
2018 10 26	7.804167  17.795833
2018 10 27	7.837500  17.762500
2018 10 28	7.862500  17.729167
2018 10 29	7.887500  17.704167
2018 10 30	7.920833  17.670833
2018 10 31	7.945833  17.637500
2018 11 01	7.970833  17.612500
2018 11 02	7.995833  17.579167
2018 11 03	8.029167  17.554167
2018 11 04	8.054167  17.520833
2018 11 05	8.079167  17.495833
2018 11 06	8.112500  17.470833
2018 11 07	8.137500  17.437500
2018 11 08	8.162500  17.412500
2018 11 09	8.187500  17.387500
2018 11 10	8.220833  17.362500
2018 11 11	8.245833  17.337500
2018 11 12	8.270833  17.312500
2018 11 13	8.295833  17.287500
2018 11 14	8.329167  17.262500
2018 11 15	8.354167  17.237500
2018 11 16	8.379167  17.220833
2018 11 17	8.404167  17.195833
2018 11 18	8.437500  17.179167
2018 11 19	8.462500  17.154167
2018 11 20	8.487500  17.137500
2018 11 21	8.512500  17.120833
2018 11 22	8.537500  17.104167
2018 11 23	8.562500  17.079167
2018 11 24	8.587500  17.062500
2018 11 25	8.612500  17.045833
2018 11 26	8.637500  17.037500
2018 11 27	8.662500  17.020833
2018 11 28	8.687500  17.004167
2018 12 01	8.754167  16.970833
2018 12 02	8.779167  16.962500
2018 12 03	8.795833  16.954167
2018 12 04	8.820833  16.945833
2018 12 05	8.837500  16.937500
2018 12 06	8.862500  16.929167
2018 12 07	8.879167  16.920833
2018 12 08	8.895833  16.920833
2018 12 09	8.912500  16.912500
2018 12 10	8.929167  16.912500
2018 12 11	8.945833  16.904167
2018 12 12	8.962500  16.904167
2018 12 13	8.979167  16.904167
2018 12 14	8.995833  16.904167
2018 12 15	9.012500  16.904167
2018 12 16	9.020833  16.912500
2018 12 17	9.037500  16.912500
2018 12 18	9.045833  16.920833
2018 12 19	9.062500  16.920833
2018 12 20	9.070833  16.929167
2018 12 21	9.079167  16.937500
2018 12 22	9.087500  16.945833
2018 12 23	9.095833  16.954167
2018 12 24	9.104167  16.962500
2018 12 25	9.112500  16.970833
2018 12 26	9.112500  16.987500
2018 12 27	9.120833  16.995833
2018 12 28	9.120833  17.012500
2018 12 29	9.129167  17.020833
2018 12 30	9.129167  17.037500
2018 12 31	9.129167  17.054167
